Sample,Time,X.center,Y.center,,, 
9787,391.44,273.6517719,333.1384295,,,
9788,391.48,273.8034669,333.1981392,,,
9789,391.52,273.955177,333.2578905,,,
9790,391.56,274.106902,333.3176835,,,
9791,391.6,274.2586423,333.3775183,,,
9792,391.64,274.402714,333.4319623,,,
9793,391.68,274.5544833,333.491878,,,
9794,391.72,274.7062682,333.5518357,,,
9795,391.76,274.8625417,333.5992009,,,
9796,391.8,275.0143539,333.6592408,,,
9797,391.84,275.1661818,333.7193228,,,
9798,391.88,275.3103331,333.7739991,,,
9799,391.92,275.4621913,333.8341627,,,
9800,391.96,275.6140656,333.8943686,,,
9801,392,275.765956,333.9546168,,,
9802,392.04,275.9178628,334.0149073,,,
9803,392.08,276.0620857,334.0697793,,,
9804,392.12,276.2140237,334.1301521,,,
9805,392.16,276.3659783,334.1905673,,,
9806,392.2,276.5223803,334.2383729,,,
9807,392.24,276.6743645,334.2988716,,,
9808,392.28,276.8263655,334.3594129,,,
9809,392.32,276.9706742,334.4145206,,,
9810,392.36,277.1227077,334.4751448,,,
9811,392.4,277.2747584,334.5358119,,,
9812,392.44,277.9698305,334.4459967,,,
9813,392.48,278.659907,334.3695899,,,
9814,392.52,279.3537599,334.2813056,,,
9815,392.56,280.0470061,334.193791,,,
9816,392.6,280.7276197,334.1141403,,,
9817,392.64,281.4196959,334.0281447,,,
9818,392.68,282.1111909,333.942915,,,
9819,392.72,282.7978583,333.8710154,,,
9820,392.76,283.4882359,333.7873021,,,
9821,392.8,283.558549,333.8063913,,,
9822,392.84,283.6288638,333.8254885,,,
9823,392.88,283.6956788,333.8265118,,,
9824,392.92,283.7659948,333.8456234,,,
9825,392.96,283.8363126,333.864743,,,
9826,393,283.9066323,333.8838705,,,
9827,393.04,283.9734425,333.8849198,,,
9828,393.08,284.0437634,333.9040617,,,
9829,393.12,284.1140861,333.9232116,,,
9830,393.16,284.1844108,333.9423695,,,
9831,393.2,284.2547373,333.9615352,,,
9832,393.24,284.3215423,333.9626172,,,
9833,393.28,284.3918701,333.9817974,,,
9834,393.32,284.4621999,334.0009857,,,
9835,393.36,284.5325316,334.0201819,,,
9836,393.4,284.5993321,334.0212899,,,
9837,393.44,284.6696652,334.0405006,,,
9838,393.48,284.7400002,334.0597193,,,
9839,393.52,284.8103372,334.0789459,,,
9840,393.56,284.8806762,334.0981806,,,
9841,393.6,284.9474718,334.0993213,,,
9842,393.64,285.0178123,334.1185705,,,
9843,393.68,285.0881547,334.1378276,,,
9844,393.72,285.1584992,334.1570928,,,
9845,393.76,285.2252906,334.1582597,,,
9846,393.8,285.2956366,334.1775394,,,
9847,393.84,285.3659847,334.1968271,,,
9848,393.88,285.4363348,334.2161229,,,
9849,393.92,285.506687,334.2354266,,,
9850,393.96,285.5734738,334.2366262,,,
9851,394,285.6438277,334.2559446,,,
9852,394.04,285.7141835,334.2752709,,,
9853,394.08,285.7845415,334.2946053,,,
9854,394.12,285.8513245,334.2958312,,,
9855,394.16,285.9216842,334.3151802,,,
9856,394.2,285.992046,334.3345372,,,
9857,394.24,286.1536092,334.3104864,,,
9858,394.28,286.3073867,334.2809171,,,
9859,394.32,286.4688856,334.2569519,,,
9860,394.36,286.6225981,334.2274664,,,
9861,394.4,286.7798844,334.2161309,,,
9862,394.44,286.9335366,334.1867258,,,
9863,394.48,287.0949126,334.1629288,,,
9864,394.52,287.2485004,334.1336073,,,
9865,394.56,287.4098134,334.1098958,,,
9866,394.6,287.5710952,334.0862275,,,
9867,394.64,287.7245877,334.0570316,,,
9868,394.68,287.8858071,334.0334486,,,
9869,394.72,288.0392363,334.0043361,,,
9870,394.76,288.1962845,333.9933558,,,
9871,394.8,288.3496552,333.9643234,,,
9872,394.84,288.5107554,333.9409079,,,
9873,394.88,288.6640636,333.9119588,,,
9874,394.92,288.8251028,333.8886283,,,
9875,394.96,289.063748,333.9211382,,,
9876,395,289.3023896,333.9537321,,,
9877,395.04,289.5332598,333.9808233,,,
9878,395.08,289.7718935,334.0135824,,,
9879,395.12,290.0105247,334.0464257,,,
9880,395.16,290.2491537,334.0793533,,,
9881,395.2,290.487781,334.1123653,,,
9882,395.24,290.7186283,334.1398599,,,
9883,395.28,290.9572509,334.1730377,,,
9884,395.32,291.1918427,334.2188004,,,
9885,395.36,291.4304704,334.252147,,,
9886,395.4,291.6613109,334.2799641,,,
9887,395.44,291.8999367,334.3134771,,,
9888,395.48,292.1385632,334.347075,,,
9889,395.52,292.3771906,334.3807579,,,
9890,395.56,292.6158194,334.4145257,,,
9891,395.6,292.8466519,334.4427492,,,
9892,395.64,293.0852822,334.4766842,,,
9893,395.68,293.3239149,334.5107044,,,
9894,395.72,293.2677986,334.7776908,,,
9895,395.76,293.2116388,335.0450004,,,
9896,395.8,293.147621,335.3069825,,,
9897,395.84,293.0913696,335.5749353,,,
9898,395.88,293.0350742,335.8432135,,,
9899,395.92,292.9787349,336.1118178,,,
9900,395.96,292.9223515,336.3807488,,,
9901,396,292.8580893,336.6443289,,,
9902,396.04,292.8016133,336.9139101,,,
9903,396.08,292.7450928,337.1838201,,,
9904,396.12,292.6885278,337.4540597,,,
9905,396.16,292.6319182,337.7246296,,,
9906,396.2,292.567409,337.9898251,,,
9907,396.24,292.5107057,338.2610523,,,
9908,396.28,292.4539575,338.5326118,,,
9909,396.32,292.3971641,338.8045045,,,
9910,396.36,292.3403257,339.0767311,,,
9911,396.4,292.2755668,339.3435596,,,
9912,396.44,292.2186335,339.6164506,,,
9913,396.48,292.1616548,339.8896776,,,
9914,396.52,292.1046305,340.1632414,,,
9915,396.56,292.0475606,340.4371427,,,
9916,396.6,291.9825491,340.7056221,,,
9917,396.64,291.9253832,340.980195,,,
9918,396.68,291.8681714,341.2551077,,,
9919,396.72,291.898848,341.4360036,,,
9920,396.76,291.9175949,341.6241673,,,
9921,396.8,291.9483249,341.8053476,,,
9922,396.84,291.9750352,341.9995969,,,
9923,396.88,291.9979016,342.1752733,,,
9924,396.92,292.0246649,342.3698289,,,
9925,396.96,292.0555053,342.551585,,,
9926,397,292.0863742,342.7334816,,,
9927,397.04,292.1052891,342.9226882,,,
9928,397.08,292.1362119,343.1048722,,,
9929,397.12,292.1631138,343.300199,,,
9930,397.16,292.1861504,343.4768506,,,
9931,397.2,292.2131059,343.6724868,,,
9932,397.24,292.24414,343.8552525,,,
9933,397.28,292.2631994,344.0453649,,,
9934,397.32,292.2942878,344.2284205,,,
9935,397.36,292.3254051,344.4116186,,,
9936,397.4,292.3525005,344.6080339,,,
9937,397.44,292.375709,344.7856707,,,
9938,397.48,292.4028585,344.9823986,,,
9939,397.52,292.4340883,345.1661844,,,
9940,397.56,292.4533189,345.3573597,,,
9941,397.6,292.4846034,345.5414385,,,
9942,397.64,292.3772185,345.3818556,,,
9943,397.68,292.2739557,345.2092794,,,
9944,397.72,292.1667046,345.0499391,,,
9945,397.76,292.0595193,344.8907158,,,
9946,397.8,291.956462,344.7185236,,,
9947,397.84,291.8494098,344.5595417,,,
9948,397.88,291.7424231,344.4006762,,,
9949,397.92,291.6395702,344.2288661,,,
9950,397.96,291.532716,344.0702409,,,
9951,398,291.4259268,343.9117315,,,
9952,398.04,291.3232773,343.7403018,,,
9953,398.08,291.2166199,343.5820316,,,
9954,398.12,291.1100273,343.4238766,,,
9955,398.16,291.0075801,343.2528255,,,
9956,398.2,290.9011186,343.0949085,,,
9957,398.24,290.7947214,342.9371063,,,
9958,398.28,290.6924756,342.766432,,,
9959,398.32,290.5862089,342.6088666,,,
9960,398.36,290.4800063,342.4514154,,,
9961,398.4,290.3779607,342.281116,,,
9962,398.44,290.2718879,342.1239006,,,
9963,398.48,290.1658787,341.9667987,,,
9964,398.52,290.0640324,341.7968726,,,
9965,398.56,289.9581523,341.6400053,,,
9966,398.6,289.8523356,341.4832511,,,
9967,398.64,289.7506875,341.3136964,,,
9968,398.68,289.6449992,341.1571757,,,
9969,398.72,289.5393739,341.0007675,,,
9970,398.76,289.437923,340.8315825,,,
9971,398.8,289.3324255,340.6754066,,,
9972,398.84,288.686798,339.9047543,,,
9973,398.88,288.0508192,339.1426648,,,
9974,398.92,287.4129208,338.3649494,,,
