Sample,Time,X.center,Y.center,,, 
2345,93.76,169.4386707,35.55296948,,,
2346,93.8,169.4386707,35.55296948,,,
2347,93.84,169.4386707,35.55296948,,,
2348,93.88,169.4386707,35.55296948,,,
2349,93.92,169.4386707,35.55296948,,,
2350,93.96,169.4386707,35.55296948,,,
2351,94,169.4386707,35.55296948,,,
2352,94.04,169.4386707,35.55296948,,,
2353,94.08,169.4386707,35.55296948,,,
2354,94.12,169.4386707,35.55296948,,,
2355,94.16,169.4386707,35.55296948,,,
2356,94.2,169.4386707,35.55296948,,,
2357,94.24,169.4386707,35.55296948,,,
2358,94.28,169.4386707,35.55296948,,,
2359,94.32,169.4386707,35.55296948,,,
2360,94.36,169.4386707,35.55296948,,,
2361,94.4,169.4386707,35.55296948,,,
2362,94.44,169.4386707,35.55296948,,,
2363,94.48,169.4386707,35.55296948,,,
2364,94.52,169.4386707,35.55296948,,,
2365,94.56,169.4386707,35.55296948,,,
2366,94.6,169.4386707,35.55296948,,,
2367,94.64,169.4386707,35.55296948,,,
2368,94.68,169.4386707,35.55296948,,,
2369,94.72,169.3660989,35.25373933,,,
2370,94.76,169.2883694,34.95887783,,,
2371,94.8,169.2217965,34.66388688,,,
2372,94.84,169.1490676,34.36432319,,,
2373,94.88,169.0762853,34.06464533,,,
2374,94.92,169.0034493,33.76485223,,,
2375,94.96,168.9305593,33.46494281,,,
2376,95,168.857615,33.16491599,,,
2377,95.04,168.7795083,32.86923359,,,
2378,95.08,168.7125709,32.57346655,,,
2379,95.12,168.6394632,32.27308385,,,
2380,95.16,168.5663,31.97257942,,,
2381,95.2,168.4930809,31.67195218,,,
2382,95.24,168.4198057,31.37120102,,,
2383,95.28,168.346474,31.07032485,,,
2384,95.32,168.2679751,30.7737693,,,
2385,95.36,168.1945292,30.47263751,,,
2386,95.4,168.1271574,30.17591939,,,
2387,95.44,168.0535982,29.87453517,,,
2388,95.48,167.979981,29.57302041,,,
2389,95.52,167.9063054,29.271374,,,
2390,95.56,167.8325712,28.96959482,,,
2391,95.6,167.7536647,28.67211292,,,
2392,95.64,167.6798118,28.37006263,,,
2393,95.68,167.6120443,28.07245585,,,
2394,95.72,167.5380739,27.77013763,,,
2395,95.76,167.4640431,27.46768102,,,
2396,95.8,167.3899518,27.16508488,,,
2397,95.84,167.3106838,26.86676636,,,
2398,95.88,167.23647,26.56388563,,,
2399,95.92,167.1621946,26.26086195,,,
2400,95.96,167.0878573,25.95769417,,,
2401,96,167.019619,25.65900508,,,
2402,96.04,166.945159,25.35555129,,,
2403,96.08,166.8706363,25.05194997,,,
2404,96.12,166.7909314,24.75260371,,,
2405,96.16,166.7162815,24.44870177,,,
2406,96.2,166.6415678,24.14464881,,,
2407,96.24,166.5667899,23.84044366,,,
2408,96.28,166.4981232,23.54074895,,,
2409,96.32,166.4232178,23.23624073,,,
2410,96.36,166.3482475,22.9315777,,,
2411,96.4,166.2680894,22.63114761,,,
2412,96.44,166.1929874,22.32616767,,,
2413,96.48,166.1178192,22.02102848,,,
2414,96.52,165.8906335,22.05558811,,,
2415,96.56,165.6570186,22.0854451,,,
2416,96.6,165.4231603,22.11529236,,,
2417,96.64,165.1901222,22.15422593,,,
2418,96.68,164.9557756,22.18405809,,,
2419,96.72,164.727406,22.21858996,,,
2420,96.76,164.4925746,22.24840555,,,
2421,96.8,164.2574968,22.27821144,,,
2422,96.84,164.0232377,22.31712521,,,
2423,96.88,163.7876659,22.34691613,,,
2424,96.92,163.5580982,22.38142066,,,
2425,96.96,163.3220357,22.41119511,,,
2426,97,163.0919882,22.44568872,,,
2427,97.04,162.8554327,22.47544674,,,
2428,97.08,162.6134174,22.50960433,,,
2429,97.12,162.3826372,22.54408189,,,
2430,97.16,162.1453288,22.57381549,,,
2431,97.2,161.914063,22.60828228,,,
2432,97.24,161.6762558,22.63799956,,,
2433,97.28,161.4329564,22.67212436,,,
2434,97.32,161.580924,22.21512481,,,
2435,97.36,161.7233922,21.76266266,,,
2436,97.4,161.8656006,21.31031698,,,
2437,97.44,162.0075504,20.85808397,,,
2438,97.48,162.1492426,20.40595981,,,
2439,97.52,162.2843901,19.94916,,,
2440,97.56,162.4307742,19.49284976,,,
2441,97.6,162.5716975,19.041028,,,
2442,97.64,162.7123675,18.5892998,,,
2443,97.68,162.852785,18.13766138,,,
2444,97.72,163.6701053,17.78025701,,,
2445,97.76,164.4791241,17.42783481,,,
2446,97.8,165.2901768,17.0716569,,,
2447,97.84,166.0930259,16.72042947,,,
2448,97.88,166.9040964,16.37021587,,,
2449,97.92,167.7008666,16.02014186,,,
2450,97.96,168.4997004,15.66630267,,,
2451,98,169.2955432,15.31303045,,,
2452,98.04,170.0834192,14.96463204,,,
2453,98.08,170.8733803,14.61246099,,,
2454,98.12,171.0377712,14.47027143,,,
2455,98.16,171.2069968,14.32383145,,,
2456,98.2,171.371103,14.18175491,,,
2457,98.24,171.5400362,14.03543084,,,
2458,98.28,171.7088214,13.88916517,,,
2459,98.32,171.8725014,13.74725703,,,
2460,98.36,172.0409963,13.60110565,,,
2461,98.4,172.204395,13.45930791,,,
2462,98.44,172.372601,13.31326973,,,
2463,98.48,172.53572,13.17158135,,,
2464,98.52,172.7582236,13.47740756,,,
2465,98.56,172.9755612,13.78712166,,,
2466,98.6,173.1926751,14.09643289,,,
2467,98.64,173.4035559,14.40062955,,,
2468,98.68,173.6202316,14.70914925,,,
2469,98.72,173.8416054,15.01297458,,,
2470,98.76,174.0578384,15.32070155,,,
2471,98.8,174.2738537,15.6280355,,,
2472,98.84,174.4836703,15.9303053,,,
2473,98.88,174.704163,16.23256644,,,
2474,98.92,174.704163,16.23256644,,,
2475,98.96,174.704163,16.23256644,,,
2476,99,174.704163,16.23256644,,,
2477,99.04,174.704163,16.23256644,,,
2478,99.08,174.704163,16.23256644,,,
2479,99.12,174.704163,16.23256644,,,
2480,99.16,174.704163,16.23256644,,,
2481,99.2,174.704163,16.23256644,,,
2482,99.24,174.704163,16.23256644,,,
2483,99.28,174.704163,16.23256644,,,
2484,99.32,174.704163,16.23256644,,,
2485,99.36,174.704163,16.23256644,,,
2486,99.4,174.704163,16.23256644,,,
2487,99.44,174.704163,16.23256644,,,
2488,99.48,174.704163,16.23256644,,,
2489,99.52,174.704163,16.23256644,,,
2490,99.56,174.704163,16.23256644,,,
2491,99.6,174.704163,16.23256644,,,
2492,99.64,174.704163,16.23256644,,,
2493,99.68,174.704163,16.23256644,,,
2494,99.72,174.793941,16.21325023,,,
2495,99.76,174.8777108,16.18927124,,,
2496,99.8,174.9674193,16.16995699,,,
2497,99.84,175.0511239,16.1459817,,,
2498,99.88,175.1456561,16.1223716,,,
2499,99.92,175.2292936,16.09840056,,,
2500,99.96,175.3188613,16.07909076,,,
2501,100,175.4024338,16.05512338,,,
2502,100.04,175.4919324,16.03581549,,,
2503,100.08,175.57544,16.01185176,,,
2504,100.12,175.6697506,15.98825139,,,
2505,100.16,175.7531915,15.96429185,,,
2506,100.2,175.8425502,15.94498829,,,
2507,100.24,175.9318734,15.9256852,,,
2508,100.28,176.0152163,15.90173067,,,
2509,100.32,176.1093417,15.87813791,,,
2510,100.36,176.1926183,15.85418752,,,
2511,100.4,176.2818022,15.83488868,,,
2512,100.44,176.3650144,15.81094187,,,
2513,100.48,176.4541299,15.79164485,,,
2514,100.52,176.5421389,15.76341288,,,
2515,100.56,176.631184,15.74411823,,,
2516,100.6,176.714266,15.72017904,,,
2517,100.64,176.803243,15.70088618,,,
2518,100.68,176.8862611,15.67695051,,,
2519,100.72,176.9800209,15.65337353,,,
2520,100.76,177.0629732,15.6294419,,,
2521,100.8,177.1518122,15.61015313,,,
2522,100.84,177.2347007,15.58622497,,,
2523,100.88,177.323472,15.56693795,,,
2524,100.92,177.323472,15.56693795,,,
2525,100.96,177.3186289,15.57122165,,,
2526,101,177.3186289,15.57122165,,,
2527,101.04,177.3137857,15.5755054,,,
2528,101.08,177.3089424,15.5797892,,,
2529,101.12,177.3089424,15.5797892,,,
2530,101.16,177.304099,15.58407305,,,
2531,101.2,177.304099,15.58407305,,,
2532,101.24,177.2992554,15.58835695,,,
2533,101.28,177.2944117,15.59264089,,,
2534,101.32,177.2944117,15.59264089,,,
2535,101.36,177.2895679,15.59692489,,,
2536,101.4,177.2895679,15.59692489,,,
2537,101.44,177.284724,15.60120893,,,
2538,101.48,177.27988,15.60549303,,,
2539,101.52,177.27988,15.60549303,,,
2540,101.56,177.2750358,15.60977717,,,
2541,101.6,177.2750358,15.60977717,,,
2542,101.64,177.2701915,15.61406137,,,
2543,101.68,177.2653471,15.61834561,,,
2544,101.72,177.2653471,15.61834561,,,
2545,101.76,177.2605026,15.6226299,,,
2546,101.8,177.2605026,15.6226299,,,
2547,101.84,177.255658,15.62691424,,,
2548,101.88,177.2508132,15.63119864,,,
2549,101.92,177.2508132,15.63119864,,,
2550,101.96,177.2459683,15.63548308,,,
2551,102,177.2459683,15.63548308,,,
2552,102.04,177.2411233,15.63976757,,,
2553,102.08,177.2362782,15.64405211,,,
2554,102.12,177.2362782,15.64405211,,,
2555,102.16,177.2314329,15.64833669,,,
2556,102.2,177.2314329,15.64833669,,,
2557,102.24,177.2265876,15.65262133,,,
2558,102.28,177.2217421,15.65690602,,,
2559,102.32,177.2217421,15.65690602,,,
2560,102.36,177.2168965,15.66119076,,,
2561,102.4,177.2168965,15.66119076,,,
2562,102.44,177.2120507,15.66547554,,,
2563,102.48,177.2072049,15.66976038,,,
2564,102.52,177.2072049,15.66976038,,,
2565,102.56,177.2023589,15.67404526,,,
2566,102.6,177.2023589,15.67404526,,,
2567,102.64,177.1975128,15.6783302,,,
2568,102.68,177.1975128,15.6783302,,,
2569,102.72,177.1926666,15.68261518,,,
2570,102.76,177.1878203,15.68690021,,,
2571,102.8,177.1878203,15.68690021,,,
2572,102.84,177.1829738,15.6911853,,,
2573,102.88,177.1829738,15.6911853,,,
2574,102.92,177.1781272,15.69547043,,,
2575,102.96,177.1732805,15.69975561,,,
2576,103,177.1732805,15.69975561,,,
2577,103.04,177.1684337,15.70404084,,,
2578,103.08,177.1684337,15.70404084,,,
2579,103.12,177.1635868,15.70832612,,,
2580,103.16,177.1587397,15.71261145,,,
2581,103.2,177.1587397,15.71261145,,,
2582,103.24,177.1538925,15.71689683,,,
2583,103.28,177.1538925,15.71689683,,,
2584,103.32,177.1490452,15.72118226,,,
2585,103.36,177.1441978,15.72546774,,,
2586,103.4,177.1441978,15.72546774,,,
2587,103.44,177.1393502,15.72975327,,,
2588,103.48,177.1393502,15.72975327,,,
2589,103.52,177.1345026,15.73403884,,,
2590,103.56,177.1296548,15.73832447,,,
2591,103.6,177.1296548,15.73832447,,,
2592,103.64,177.1248069,15.74261015,,,
2593,103.68,177.1248069,15.74261015,,,
